Date,Tweets
2017-03-24,30279.0
2017-03-25,29728.0
2017-03-26,23985.0
2017-03-27,25216.0
2017-03-28,26462.0
2017-03-29,24593.0
2017-03-30,25723.0
2017-03-31,24542.0
2017-04-01,21680.0
2017-04-02,21011.0
2017-04-03,25315.0
2017-04-04,26979.0
2017-04-05,28967.0
2017-04-06,28251.0
2017-04-07,29445.0
2017-04-08,23272.0
2017-04-09,22661.0
2017-04-10,26562.0
2017-04-11,28441.0
2017-04-12,29250.0
2017-04-13,27278.0
2017-04-14,25953.0
2017-04-15,22135.0
2017-04-16,23562.0
2017-04-17,28015.0
2017-04-18,28770.0
2017-04-19,26629.0
2017-04-20,29974.0
2017-04-21,28206.0
2017-04-22,27203.0
2017-04-23,25203.0
2017-04-24,29644.0
2017-04-25,33008.0
2017-04-26,29463.0
2017-04-27,32051.0
2017-04-28,28213.0
2017-04-29,25838.0
2017-04-30,27459.0
2017-05-01,34936.0
2017-05-02,35501.0
2017-05-03,31179.0
2017-05-04,34255.0
2017-05-05,29857.0
2017-05-06,25032.0
2017-05-07,26713.0
2017-05-08,29244.0
2017-05-09,44121.0
2017-05-10,40934.0
2017-05-11,35505.0
2017-05-12,35985.0
2017-05-13,33174.0
2017-05-14,40474.0
2017-05-15,32997.0
2017-05-16,35688.0
2017-05-17,33543.0
2017-05-18,33534.0
2017-05-19,34239.0
2017-05-20,32852.0
2017-05-21,34900.0
2017-05-22,44720.0
2017-05-23,48940.0
2017-05-24,47492.0
2017-05-25,51057.0
2017-05-26,49914.0
2017-05-27,39077.0
2017-05-28,33992.0
2017-05-29,41046.0
2017-05-30,41624.0
2017-05-31,47749.0
2017-06-01,39409.0
2017-06-02,35997.0
2017-06-03,30857.0
2017-06-04,38571.0
2017-06-05,38632.0
2017-06-06,51736.0
2017-06-07,43821.0
2017-06-08,37910.0
2017-06-09,38824.0
2017-06-10,34849.0
2017-06-11,36404.0
2017-06-12,42206.0
